"","Disease","Date","State","Cases","Rates"
"1","COVID-19",2020-10-31,"Australian Capital Territory",1,0.2
"2","COVID-19",2020-09-30,"Australian Capital Territory",0,0
"3","COVID-19",2020-08-31,"Australian Capital Territory",0,0
"4","COVID-19",2020-07-31,"Australian Capital Territory",5,1.2
"5","COVID-19",2020-06-30,"Australian Capital Territory",0,0
"6","COVID-19",2020-05-31,"Australian Capital Territory",1,0.2
"7","COVID-19",2020-04-30,"Australian Capital Territory",8,1.9
"8","COVID-19",2020-03-31,"Australian Capital Territory",99,23.2
"9","COVID-19",2020-02-29,"Australian Capital Territory",0,0
"10","COVID-19",2020-01-31,"Australian Capital Territory",0,0
"11","COVID-19",2019-12-31,"Australian Capital Territory",0,0
"12","COVID-19",2019-11-30,"Australian Capital Territory",0,0
"13","COVID-19",2019-10-31,"Australian Capital Territory",0,0
"14","COVID-19",2019-09-30,"Australian Capital Territory",0,0
"15","COVID-19",2019-08-31,"Australian Capital Territory",0,0
"16","COVID-19",2019-07-31,"Australian Capital Territory",0,0
"17","COVID-19",2019-06-30,"Australian Capital Territory",0,0
"18","COVID-19",2019-05-31,"Australian Capital Territory",0,0
"19","COVID-19",2019-04-30,"Australian Capital Territory",0,0
"20","COVID-19",2019-03-31,"Australian Capital Territory",0,0
"21","COVID-19",2019-02-28,"Australian Capital Territory",0,0
"22","COVID-19",2019-01-31,"Australian Capital Territory",0,0
"23","COVID-19",2018-12-31,"Australian Capital Territory",0,0
"24","COVID-19",2018-11-30,"Australian Capital Territory",0,0
"25","COVID-19",2020-10-31,"New South Wales",201,2.5
"26","COVID-19",2020-09-30,"New South Wales",162,2
"27","COVID-19",2020-08-31,"New South Wales",278,3.4
"28","COVID-19",2020-07-31,"New South Wales",390,4.8
"29","COVID-19",2020-06-30,"New South Wales",132,1.6
"30","COVID-19",2020-05-31,"New South Wales",66,0.8
"31","COVID-19",2020-04-30,"New South Wales",436,5.4
"32","COVID-19",2020-03-31,"New South Wales",2766,34.2
"33","COVID-19",2020-02-29,"New South Wales",49,0.6
"34","COVID-19",2020-01-31,"New South Wales",4,0
"35","COVID-19",2019-12-31,"New South Wales",0,0
"36","COVID-19",2019-11-30,"New South Wales",0,0
"37","COVID-19",2019-10-31,"New South Wales",0,0
"38","COVID-19",2019-09-30,"New South Wales",0,0
"39","COVID-19",2019-08-31,"New South Wales",0,0
"40","COVID-19",2019-07-31,"New South Wales",0,0
"41","COVID-19",2019-06-30,"New South Wales",0,0
"42","COVID-19",2019-05-31,"New South Wales",0,0
"43","COVID-19",2019-04-30,"New South Wales",0,0
"44","COVID-19",2019-03-31,"New South Wales",0,0
"45","COVID-19",2019-02-28,"New South Wales",0,0
"46","COVID-19",2019-01-31,"New South Wales",0,0
"47","COVID-19",2018-12-31,"New South Wales",0,0
"48","COVID-19",2018-11-30,"New South Wales",0,0
"49","COVID-19",2020-10-31,"Northern Territory",5,2
"50","COVID-19",2020-09-30,"Northern Territory",0,0
"51","COVID-19",2020-08-31,"Northern Territory",0,0
"52","COVID-19",2020-07-31,"Northern Territory",3,1.2
"53","COVID-19",2020-06-30,"Northern Territory",1,0.4
"54","COVID-19",2020-05-31,"Northern Territory",0,0
"55","COVID-19",2020-04-30,"Northern Territory",4,1.6
"56","COVID-19",2020-03-31,"Northern Territory",25,10.2
"57","COVID-19",2020-02-29,"Northern Territory",0,0
"58","COVID-19",2020-01-31,"Northern Territory",0,0
"59","COVID-19",2019-12-31,"Northern Territory",0,0
"60","COVID-19",2019-11-30,"Northern Territory",0,0
"61","COVID-19",2019-10-31,"Northern Territory",0,0
