"","Disease","Date","State","Cases","Rates","Cases_7dayavg","Rates_7dayavg"
"1","Hepatitis B (unspecified)",2018-11-30,"Australian Capital Territory",9,2.1,NA,NA
"2","Hepatitis C (unspecified)",2018-11-30,"Australian Capital Territory",9,2.1,NA,NA
"3","Campylobacteriosis",2018-11-30,"Australian Capital Territory",47,11.2,NA,NA
"4","Salmonellosis",2018-11-30,"Australian Capital Territory",17,4,12.7142857142857,3.01428571428571
"5","Shigellosis",2018-11-30,"Australian Capital Territory",3,0.7,30.7142857142857,7.3
"6","Legionellosis",2018-11-30,"Australian Capital Territory",2,0.5,35.1428571428571,8.35714285714286
"7","Tuberculosis",2018-11-30,"Australian Capital Territory",2,0.5,29.1428571428571,6.92857142857143
"8","Chlamydial infection",2018-11-30,"Australian Capital Territory",135,32.1,30,7.14285714285714
"9","Gonococcal infection",2018-11-30,"Australian Capital Territory",40,9.5,38.4285714285714,9.14285714285714
"10","Syphilis < 2 years",2018-11-30,"Australian Capital Territory",5,1.2,38.4285714285714,9.14285714285714
"11","Influenza (laboratory confirmed)",2018-11-30,"Australian Capital Territory",23,5.5,46.1428571428571,10.9714285714286
"12","Pertussis",2018-11-30,"Australian Capital Territory",62,14.7,32.1428571428571,7.64285714285714
"13","Rotavirus",2018-11-30,"Australian Capital Territory",2,0.5,28,6.65714285714286
"14","Varicella zoster (chickenpox)",2018-11-30,"Australian Capital Territory",56,13.3,27.7142857142857,6.58571428571428
"15","Varicella zoster (shingles)",2018-11-30,"Australian Capital Territory",37,8.8,25.1428571428571,5.97142857142857
"16","Varicella zoster (unspecified)",2018-11-30,"Australian Capital Territory",11,2.6,17.5714285714286,4.17142857142857
"17","Dengue virus infection",2018-11-30,"Australian Capital Territory",3,0.7,17.4285714285714,4.12857142857143
"18","Hepatitis B (unspecified)",2018-11-30,"New South Wales",209,2.6,NA,NA
"19","Hepatitis C (unspecified)",2018-11-30,"New South Wales",311,3.9,NA,NA
"20","Cryptosporidiosis",2018-11-30,"New South Wales",42,0.5,NA,NA
"21","Salmonellosis",2018-11-30,"New South Wales",256,3.2,138.857142857143,1.72857142857143
"22","Shigellosis",2018-11-30,"New South Wales",79,1,476.714285714286,5.97142857142857
"23","Legionellosis",2018-11-30,"New South Wales",27,0.3,552.857142857143,6.92857142857143
"24","Tuberculosis",2018-11-30,"New South Wales",48,0.6,570,7.14285714285714
"25","Chlamydial infection",2018-11-30,"New South Wales",2574,32.3,545.285714285714,6.82857142857143
"26","Gonococcal infection",2018-11-30,"New South Wales",844,10.6,662.571428571429,8.3
"27","Syphilis < 2 years",2018-11-30,"New South Wales",162,2,816.857142857143,10.2428571428571
"28","Syphilis > 2 years or unspecified duration",2018-11-30,"New South Wales",83,1,816.571428571429,10.2428571428571
"29","Influenza (laboratory confirmed)",2018-11-30,"New South Wales",900,11.3,457.142857142857,5.72857142857143
"30","Pertussis",2018-11-30,"New South Wales",1107,13.9,341.714285714286,4.28571428571429
"31","Pneumococcal disease (invasive)",2018-11-30,"New South Wales",46,0.6,322.857142857143,4.05714285714286
"32","Rotavirus",2018-11-30,"New South Wales",58,0.7,314.571428571429,3.95714285714286
"33","Dengue virus infection",2018-11-30,"New South Wales",36,0.5,206.285714285714,2.6
"34","Ross River virus infection",2018-11-30,"New South Wales",30,0.4,83.5714285714286,1.05714285714286
"35","Q fever",2018-11-30,"New South Wales",25,0.3,84.2857142857143,1.05714285714286
"36","Hepatitis B (newly acquired)",2018-11-30,"Northern Territory",1,0.4,NA,NA
"37","Hepatitis B (unspecified)",2018-11-30,"Northern Territory",7,2.8,NA,NA
"38","Hepatitis C (unspecified)",2018-11-30,"Northern Territory",11,4.5,NA,NA
"39","Campylobacteriosis",2018-11-30,"Northern Territory",29,11.7,17.5714285714286,7.11428571428571
"40","Cryptosporidiosis",2018-11-30,"Northern Territory",4,1.6,17.5714285714286,7.11428571428571
"41","Salmonellosis",2018-11-30,"Northern Territory",38,15.4,49,19.8428571428571
"42","Shigellosis",2018-11-30,"Northern Territory",33,13.4,71.2857142857143,28.8571428571429
"43","Tuberculosis",2018-11-30,"Northern Territory",1,0.4,73.2857142857143,29.6714285714286
"44","Chlamydial infection",2018-11-30,"Northern Territory",227,91.9,73.2857142857143,29.6714285714286
"45","Gonococcal infection",2018-11-30,"Northern Territory",167,67.6,111.428571428571,45.1142857142857
"46","Syphilis < 2 years",2018-11-30,"Northern Territory",43,17.4,106.857142857143,43.2571428571429
"47","Syphilis > 2 years or unspecified duration",2018-11-30,"Northern Territory",4,1.6,107.142857142857,43.3714285714286
"48","Influenza (laboratory confirmed)",2018-11-30,"Northern Territory",305,123.5,75.2857142857143,30.4714285714286
"49","Mumps",2018-11-30,"Northern Territory",1,0.4,52,21.0428571428571
"50","Pertussis",2018-11-30,"Northern Territory",3,1.2,47.1428571428571,19.0714285714286
"51","Pneumococcal disease (invasive)",2018-11-30,"Northern Territory",4,1.6,50.5714285714286,20.4571428571429
"52","Rotavirus",2018-11-30,"Northern Territory",4,1.6,7.28571428571429,2.92857142857143
"53","Varicella zoster (chickenpox)",2018-11-30,"Northern Territory",9,3.6,7.28571428571429,2.92857142857143
"54","Varicella zoster (shingles)",2018-11-30,"Northern Territory",28,11.3,7.28571428571429,2.92857142857143
"55","Dengue virus infection",2018-11-30,"Northern Territory",2,0.8,7.28571428571429,2.92857142857143
"56","Malaria",2018-11-30,"Northern Territory",1,0.4,8.71428571428571,3.51428571428571
"57","Ross River virus infection",2018-11-30,"Northern Territory",3,1.2,11.7142857142857,4.72857142857143
"58","Hepatitis B (unspecified)",2018-11-30,"Queensland",53,1.1,NA,NA
"59","Hepatitis C (newly acquired)",2018-11-30,"Queensland",27,0.5,NA,NA
"60","Hepatitis C (unspecified)",2018-11-30,"Queensland",150,3,NA,NA
"61","Campylobacteriosis",2018-11-30,"Queensland",779,15.6,195,3.9
"62","Cryptosporidiosis",2018-11-30,"Queensland",87,1.7,194.857142857143,3.88571428571429
"63","Hepatitis A",2018-11-30,"Queensland",8,0.2,192.571428571429,3.84285714285714
"64","Salmonellosis",2018-11-30,"Queensland",261,5.2,467.285714285714,9.32857142857143
"65","Shigellosis",2018-11-30,"Queensland",52,1,428.142857142857,8.54285714285714
"66","Tuberculosis",2018-11-30,"Queensland",11,0.2,429.428571428571,8.57142857142857
"67","Chlamydial infection",2018-11-30,"Queensland",2073,41.4,432.285714285714,8.62857142857143
"68","Gonococcal infection",2018-11-30,"Queensland",505,10.1,590.142857142857,11.7857142857143
"69","Syphilis < 2 years",2018-11-30,"Queensland",96,1.9,584.285714285714,11.6714285714286
"70","Syphilis > 2 years or unspecified duration",2018-11-30,"Queensland",28,0.6,619,12.3714285714286
"71","Influenza (laboratory confirmed)",2018-11-30,"Queensland",1366,27.3,326.571428571429,6.52857142857143
"72","Mumps",2018-11-30,"Queensland",11,0.2,264,5.27142857142857
"73","Pertussis",2018-11-30,"Queensland",254,5.1,258.714285714286,5.17142857142857
"74","Pneumococcal disease (invasive)",2018-11-30,"Queensland",26,0.5,295.571428571429,5.9
"75","Rotavirus",2018-11-30,"Queensland",67,1.3,161.857142857143,3.22857142857143
"76","Varicella zoster (chickenpox)",2018-11-30,"Queensland",59,1.2,162.285714285714,3.24285714285714
"77","Varicella zoster (shingles)",2018-11-30,"Queensland",286,5.7,128.142857142857,2.55714285714286
"78","Varicella zoster (unspecified)",2018-11-30,"Queensland",430,8.6,127.142857142857,2.54285714285714
"79","Barmah Forest virus infection",2018-11-30,"Queensland",14,0.3,130.714285714286,2.61428571428571
"80","Dengue virus infection",2018-11-30,"Queensland",15,0.3,124.571428571429,2.48571428571429
"81","Malaria",2018-11-30,"Queensland",19,0.4,90.5714285714286,1.81428571428571
"82","Ross River virus infection",2018-11-30,"Queensland",92,1.8,32.4285714285714,0.657142857142857
"83","Q fever",2018-11-30,"Queensland",16,0.3,49.1428571428571,0.985714285714286
"84","Hepatitis B (unspecified)",2018-11-30,"South Australia",27,1.6,NA,NA
"85","Hepatitis C (newly acquired)",2018-11-30,"South Australia",5,0.3,NA,NA
"86","Hepatitis C (unspecified)",2018-11-30,"South Australia",45,2.6,NA,NA
"87","Campylobacteriosis",2018-11-30,"South Australia",337,19.4,73.8571428571429,4.25714285714286
"88","Cryptosporidiosis",2018-11-30,"South Australia",8,0.5,78.8571428571429,4.54285714285714
"89","STEC",2018-11-30,"South Australia",37,2.1,78.5714285714286,4.52857142857143
"90","Salmonellosis",2018-11-30,"South Australia",58,3.3,72.8571428571429,4.2
"91","Shigellosis",2018-11-30,"South Australia",62,3.6,26.7142857142857,1.54285714285714
"92","Legionellosis",2018-11-30,"South Australia",3,0.2,100.142857142857,5.77142857142857
"93","Meningococcal disease (invasive)",2018-11-30,"South Australia",5,0.3,108.142857142857,6.24285714285714
"94","Tuberculosis",2018-11-30,"South Australia",14,0.8,102.857142857143,5.94285714285714
"95","Chlamydial infection",2018-11-30,"South Australia",522,30.1,95,5.48571428571429
"96","Gonococcal infection",2018-11-30,"South Australia",93,5.4,235.142857142857,13.5571428571429
"97","Syphilis < 2 years",2018-11-30,"South Australia",21,1.2,242.714285714286,13.9857142857143
"98","Syphilis > 2 years or unspecified duration",2018-11-30,"South Australia",7,0.4,241.714285714286,13.9285714285714
"99","Influenza (laboratory confirmed)",2018-11-30,"South Australia",984,56.7,174.142857142857,10.0285714285714
"100","Pertussis",2018-11-30,"South Australia",58,3.3,173.142857142857,9.97142857142857
"101","Pneumococcal disease (invasive)",2018-11-30,"South Australia",7,0.4,210.857142857143,12.1428571428571
"102","Rotavirus",2018-11-30,"South Australia",49,2.8,213.142857142857,12.2714285714286
"103","Varicella zoster (chickenpox)",2018-11-30,"South Australia",86,5,73.2857142857143,4.21428571428571
"104","Varicella zoster (shingles)",2018-11-30,"South Australia",285,16.4,65.8571428571429,3.78571428571428
"105","Varicella zoster (unspecified)",2018-11-30,"South Australia",23,1.3,65.5714285714286,3.77142857142857
"106","Dengue virus infection",2018-11-30,"South Australia",5,0.3,62,3.57142857142857
"107","Malaria",2018-11-30,"South Australia",6,0.3,50.1428571428571,2.88571428571428
"108","Ross River virus infection",2018-11-30,"South Australia",5,0.3,13.5714285714286,0.785714285714285
"109","Hepatitis B (newly acquired)",2018-11-30,"Tasmania",1,0.2,NA,NA
"110","Hepatitis B (unspecified)",2018-11-30,"Tasmania",3,0.6,NA,NA
"111","Hepatitis C (newly acquired)",2018-11-30,"Tasmania",1,0.2,NA,NA
"112","Hepatitis C (unspecified)",2018-11-30,"Tasmania",18,3.4,18,3.41428571428571
"113","Campylobacteriosis",2018-11-30,"Tasmania",80,15.1,18,3.41428571428571
"114","Cryptosporidiosis",2018-11-30,"Tasmania",4,0.8,17.7142857142857,3.35714285714286
"115","Salmonellosis",2018-11-30,"Tasmania",19,3.6,17.7142857142857,3.35714285714286
"116","Shigellosis",2018-11-30,"Tasmania",1,0.2,35.1428571428571,6.65714285714286
"117","Meningococcal disease (invasive)",2018-11-30,"Tasmania",1,0.2,25.5714285714286,4.85714285714286
"118","Tuberculosis",2018-11-30,"Tasmania",1,0.2,25.2857142857143,4.8
"119","Chlamydial infection",2018-11-30,"Tasmania",140,26.5,23.1428571428571,4.4
"120","Gonococcal infection",2018-11-30,"Tasmania",13,2.5,31.7142857142857,6.01428571428571
"121","Syphilis < 2 years",2018-11-30,"Tasmania",2,0.4,45.8571428571429,8.68571428571429
"122","Syphilis > 2 years or unspecified duration",2018-11-30,"Tasmania",4,0.8,46,8.71428571428571
"123","Influenza (laboratory confirmed)",2018-11-30,"Tasmania",61,11.5,26.8571428571429,5.08571428571429
"124","Pertussis",2018-11-30,"Tasmania",100,18.9,25.5714285714286,4.84285714285714
"125","Pneumococcal disease (invasive)",2018-11-30,"Tasmania",2,0.4,31.1428571428571,5.9
"126","Rotavirus",2018-11-30,"Tasmania",6,1.1,31.8571428571429,6.02857142857143
"127","Varicella zoster (chickenpox)",2018-11-30,"Tasmania",4,0.8,23.5714285714286,4.47142857142857
"128","Varicella zoster (shingles)",2018-11-30,"Tasmania",41,7.8,9.42857142857143,1.8
"129","Varicella zoster (unspecified)",2018-11-30,"Tasmania",9,1.7,9.28571428571429,1.77142857142857
"130","Dengue virus infection",2018-11-30,"Tasmania",3,0.6,8.71428571428571,1.67142857142857
"131","Malaria",2018-11-30,"Tasmania",1,0.2,9.42857142857143,1.8
"132","Ross River virus infection",2018-11-30,"Tasmania",1,0.2,14.5714285714286,2.77142857142857
"133","Hepatitis B (unspecified)",2018-11-30,"Victoria",168,2.6,NA,NA
"134","Hepatitis C (unspecified)",2018-11-30,"Victoria",144,2.2,NA,NA
"135","Campylobacteriosis",2018-11-30,"Victoria",658,10.2,NA,NA
"136","Cryptosporidiosis",2018-11-30,"Victoria",36,0.6,183.285714285714,2.84285714285714
"137","STEC",2018-11-30,"Victoria",11,0.2,162.285714285714,2.51428571428571
"138","Salmonellosis",2018-11-30,"Victoria",233,3.6,147.571428571429,2.28571428571429
"139","Shigellosis",2018-11-30,"Victoria",33,0.5,377.857142857143,5.84285714285714
"140","Legionellosis",2018-11-30,"Victoria",21,0.3,465.142857142857,7.18571428571429
"141","Tuberculosis",2018-11-30,"Victoria",41,0.6,482.571428571429,7.45714285714286
"142","Chlamydial infection",2018-11-30,"Victoria",2270,35.1,459.571428571429,7.1
"143","Gonococcal infection",2018-11-30,"Victoria",647,10,678.714285714286,10.4857142857143
"144","Syphilis < 2 years",2018-11-30,"Victoria",133,2.1,698.714285714286,10.8
"145","Syphilis > 2 years or unspecified duration",2018-11-30,"Victoria",72,1.1,699.285714285714,10.8142857142857
"146","Influenza (laboratory confirmed)",2018-11-30,"Victoria",1567,24.2,NA,5.98571428571429
"147","Pertussis",2018-11-30,"Victoria",161,2.5,NA,4.88571428571429
"148","Pneumococcal disease (invasive)",2018-11-30,"Victoria",45,0.7,NA,5.08571428571428
"149","Rotavirus",2018-11-30,"Victoria",NA,1.3,NA,6.35714285714286
"150","Varicella zoster (chickenpox)",2018-11-30,"Victoria",149,2.3,NA,2.95714285714286
"151","Varicella zoster (shingles)",2018-11-30,"Victoria",227,3.5,NA,2.8
"152","Varicella zoster (unspecified)",2018-11-30,"Victoria",647,10,NA,3.01428571428571
"153","Dengue virus infection",2018-11-30,"Victoria",23,0.4,277.285714285714,4.28571428571428
"154","Hepatitis B (unspecified)",2018-11-30,"Western Australia",35,1.3,NA,NA
"155","Hepatitis C (newly acquired)",2018-11-30,"Western Australia",14,0.5,NA,NA
"156","Hepatitis C (unspecified)",2018-11-30,"Western Australia",74,2.9,NA,NA
"157","Campylobacteriosis",2018-11-30,"Western Australia",353,13.6,96.1428571428571,3.7
"158","Cryptosporidiosis",2018-11-30,"Western Australia",11,0.4,93.5714285714286,3.61428571428571
"159","STEC",2018-11-30,"Western Australia",12,0.5,94,3.64285714285714
"160","Salmonellosis",2018-11-30,"Western Australia",174,6.7,225.142857142857,8.68571428571429
"161","Shigellosis",2018-11-30,"Western Australia",17,0.7,219,8.44285714285714
"162","Tuberculosis",2018-11-30,"Western Australia",17,0.7,223.571428571429,8.62857142857143
"163","Chlamydial infection",2018-11-30,"Western Australia",992,38.2,224.714285714286,8.67142857142857
"164","Gonococcal infection",2018-11-30,"Western Australia",310,11.9,248.857142857143,9.6
"165","Syphilis < 2 years",2018-11-30,"Western Australia",43,1.7,247.428571428571,9.54285714285714
"166","Syphilis > 2 years or unspecified duration",2018-11-30,"Western Australia",20,0.8,257,9.9
"167","Influenza (laboratory confirmed)",2018-11-30,"Western Australia",343,13.2,118.142857142857,4.55714285714286
"168","Measles",2018-11-30,"Western Australia",7,0.3,80,3.1
"169","Pertussis",2018-11-30,"Western Australia",84,3.2,81.2857142857143,3.14285714285714
"170","Pneumococcal disease (invasive)",2018-11-30,"Western Australia",20,0.8,105.714285714286,4.08571428571429
"171","Rotavirus",2018-11-30,"Western Australia",43,1.7,77.2857142857143,3
"172","Varicella zoster (chickenpox)",2018-11-30,"Western Australia",52,2,78,3.02857142857143
"173","Varicella zoster (shingles)",2018-11-30,"Western Australia",191,7.4,70.1428571428571,2.72857142857143
