,Month,ACT_n,NSW_n,NT_n,Qld_n,SA_n,Tas_n,Vic_n,WA_n,Aust_n,ACT_rate,NSW_rate,NT_rate,Qld_rate,SA_rate,Tas_rate,Vic_rate,WA_rate,Aust_rate,,,,,,,,,,
Hepatitis (NEC),Oct-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Hepatitis B (newly acquired),Oct-20,0,0,0,2,0,0,1,0,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Hepatitis B (unspecified),Oct-20,5,167,2,70,16,1,98,51,410,1.2,2.1,0.8,1.4,0.9,0.2,1.5,1.9,1.6,,,,,,,,,,
Hepatitis C (newly acquired),Oct-20,2,0,0,41,1,0,1,3,48,0.5,0,0,0.8,0.1,0,0,0.1,0.2,,,,,,,,,,
Hepatitis C (unspecified),Oct-20,14,223,8,137,14,11,155,83,645,3.3,2.8,3.3,2.7,0.8,2.1,2.4,3.2,2.5,,,,,,,,,,
Hepatitis D,Oct-20,0,5,0,1,0,0,2,0,8,0,0.1,0,0,0,0,0,0,0,,,,,,,,,,
Botulism,Oct-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Campylobacteriosis,Oct-20,91,889,26,639,317,66,652,261,2941,21.4,11,10.6,12.5,18.1,12.3,9.9,10,17,,,,,,,,,,
Cryptosporidiosis,Oct-20,1,23,2,18,15,7,34,9,109,0.2,0.3,0.8,0.4,0.9,1.3,0.5,0.3,0.4,,,,,,,,,,
Haemolytic uraemic syndrome (HUS),Oct-20,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Hepatitis A,Oct-20,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Hepatitis E,Oct-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Listeriosis,Oct-20,0,2,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Paratyphoid,Oct-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
STEC,Oct-20,0,12,0,7,21,0,6,6,52,0,0.1,0,0.1,1.2,0,0.1,0.2,0.2,,,,,,,,,,
Salmonellosis,Oct-20,3,144,34,169,63,6,100,102,621,0.7,1.8,13.8,3.3,3.6,1.1,1.5,3.9,2.4,,,,,,,,,,
Shigellosis,Oct-20,0,16,8,16,3,0,1,10,54,0,0.2,3.3,0.3,0.2,0,0,0.4,0.2,,,,,,,,,,
Typhoid Fever,Oct-20,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Legionellosis,Oct-20,0,8,0,3,10,1,8,3,33,0,0.1,0,0.1,0.6,0.2,0.1,0.1,0.1,,,,,,,,,,
Leprosy,Oct-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Meningococcal disease (invasive),Oct-20,0,3,2,3,1,0,0,1,10,0,0,0.8,0.1,0.1,0,0,0,0,,,,,,,,,,
Tuberculosis,Oct-20,2,50,2,21,4,3,44,19,145,0.5,0.6,0.8,0.4,0.2,0.6,0.7,0.7,0.6,,,,,,,,,,
COVID-19,Oct-20,1,201,5,13,28,0,155,77,480,0.2,2.5,2,0.3,1.6,0,2.4,2.9,1.9,,,,,,,,,,
Cholera,Oct-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Middle East respiratory syndrome coronavirus,Oct-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Plague,Oct-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Rabies,Oct-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
