"","Disease","Date","State","Cases","Rates"
"1","Hepatitis (NEC)",2020-10-31,"ACT",0,0
"2","Hepatitis B (newly acquired)",2020-10-31,"ACT",0,0
"3","Hepatitis B (unspecified)",2020-10-31,"ACT",5,1.2
"4","Hepatitis C (newly acquired)",2020-10-31,"ACT",2,0.5
"5","Hepatitis C (unspecified)",2020-10-31,"ACT",14,3.3
"6","Hepatitis D",2020-10-31,"ACT",0,0
"7","Botulism",2020-10-31,"ACT",0,0
"8","Campylobacteriosis",2020-10-31,"ACT",91,21.4
"9","Cryptosporidiosis",2020-10-31,"ACT",1,0.2
"10","Haemolytic uraemic syndrome (HUS)",2020-10-31,"ACT",0,0
"11","Hepatitis A",2020-10-31,"ACT",0,0
"12","Hepatitis E",2020-10-31,"ACT",0,0
"13","Listeriosis",2020-10-31,"ACT",0,0
"14","Paratyphoid",2020-10-31,"ACT",0,0
"15","STEC",2020-10-31,"ACT",0,0
"16","Salmonellosis",2020-10-31,"ACT",3,0.7
"17","Shigellosis",2020-10-31,"ACT",0,0
"18","Typhoid Fever",2020-10-31,"ACT",0,0
"19","Legionellosis",2020-10-31,"ACT",0,0
"20","Leprosy",2020-10-31,"ACT",0,0
"21","Meningococcal disease (invasive)",2020-10-31,"ACT",0,0
"22","Tuberculosis",2020-10-31,"ACT",2,0.5
"23","COVID-19",2020-10-31,"ACT",1,0.2
"24","Cholera",2020-10-31,"ACT",0,0
"25","Middle East respiratory syndrome coronavirus",2020-10-31,"ACT",0,0
"26","Plague",2020-10-31,"ACT",0,0
"27","Rabies",2020-10-31,"ACT",0,0
"28","Smallpox",2020-10-31,"ACT",0,0
"29","Viral haemorrhagic fever (NEC)",2020-10-31,"ACT",0,0
"30","Yellow fever",2020-10-31,"ACT",0,0
"31","Chlamydial infection",2020-10-31,"ACT",113,26.5
"32","Donovanosis",2020-10-31,"ACT",0,0
"33","Gonococcal infection",2020-10-31,"ACT",15,3.5
"34","Syphilis < 2 years",2020-10-31,"ACT",2,0.5
"35","Syphilis > 2 years or unspecified duration",2020-10-31,"ACT",1,0.2
"36","Syphilis congenital",2020-10-31,"ACT",0,0
"37","Diphtheria",2020-10-31,"ACT",0,0
"38","Haemophilus influenzae type b",2020-10-31,"ACT",0,0
"39","Influenza (laboratory confirmed)",2020-10-31,"ACT",1,0.2
"40","Measles",2020-10-31,"ACT",0,0
"41","Mumps",2020-10-31,"ACT",0,0
"42","Pertussis",2020-10-31,"ACT",0,0
"43","Pneumococcal disease (invasive)",2020-10-31,"ACT",0,0
"44","Poliovirus infection",2020-10-31,"ACT",0,0
"45","Rotavirus",2020-10-31,"ACT",2,0.5
"46","Rubella",2020-10-31,"ACT",0,0
"47","Rubella congenital",2020-10-31,"ACT",0,0
"48","Tetanus",2020-10-31,"ACT",0,0
"49","Varicella zoster (chickenpox)",2020-10-31,"ACT",17,4
"50","Varicella zoster (shingles)",2020-10-31,"ACT",54,12.7
"51","Varicella zoster (unspecified)",2020-10-31,"ACT",7,1.6
"52","Barmah Forest virus infection",2020-10-31,"ACT",0,0
"53","Chikungunya virus infection",2020-10-31,"ACT",0,0
"54","Dengue virus infection",2020-10-31,"ACT",0,0
"55","Flavivirus infection (unspecified)",2020-10-31,"ACT",0,0
"56","Japanese encephalitis virus infection",2020-10-31,"ACT",0,0
"57","Malaria",2020-10-31,"ACT",0,0
"58","Murray Valley encephalitis virus infection",2020-10-31,"ACT",0,0
"59","Ross River virus infection",2020-10-31,"ACT",0,0
"60","West Nile/Kunjin virus infection",2020-10-31,"ACT",0,0
"61","Anthrax",2020-10-31,"ACT",0,0
"62","Australian bat lyssavirus infection",2020-10-31,"ACT",0,0
"63","Brucellosis",2020-10-31,"ACT",0,0
"64","Leptospirosis",2020-10-31,"ACT",0,0
"65","Lyssavirus infection (NEC)",2020-10-31,"ACT",0,0
"66","Ornithosis",2020-10-31,"ACT",0,0
"67","Q fever",2020-10-31,"ACT",0,0
"68","Tularaemia",2020-10-31,"ACT",0,0
"69","Hepatitis (NEC)",2020-09-30,"ACT",0,0
"70","Hepatitis B (newly acquired)",2020-09-30,"ACT",0,0
"71","Hepatitis B (unspecified)",2020-09-30,"ACT",7,1.6
"72","Hepatitis C (newly acquired)",2020-09-30,"ACT",5,1.2
"73","Hepatitis C (unspecified)",2020-09-30,"ACT",11,2.6
"74","Hepatitis D",2020-09-30,"ACT",0,0
"75","Botulism",2020-09-30,"ACT",0,0
"76","Campylobacteriosis",2020-09-30,"ACT",58,13.6
"77","Cryptosporidiosis",2020-09-30,"ACT",0,0
"78","Haemolytic uraemic syndrome (HUS)",2020-09-30,"ACT",0,0
"79","Hepatitis A",2020-09-30,"ACT",0,0
"80","Hepatitis E",2020-09-30,"ACT",0,0
"81","Listeriosis",2020-09-30,"ACT",0,0
"82","Paratyphoid",2020-09-30,"ACT",0,0
"83","STEC",2020-09-30,"ACT",0,0
"84","Salmonellosis",2020-09-30,"ACT",6,1.4
"85","Shigellosis",2020-09-30,"ACT",1,0.2
"86","Typhoid Fever",2020-09-30,"ACT",0,0
"87","Legionellosis",2020-09-30,"ACT",0,0
"88","Leprosy",2020-09-30,"ACT",0,0
"89","Meningococcal disease (invasive)",2020-09-30,"ACT",0,0
"90","Tuberculosis",2020-09-30,"ACT",2,0.5
"91","COVID-19",2020-09-30,"ACT",0,0
"92","Cholera",2020-09-30,"ACT",0,0
"93","Middle East respiratory syndrome coronavirus",2020-09-30,"ACT",0,0
"94","Plague",2020-09-30,"ACT",0,0
"95","Rabies",2020-09-30,"ACT",0,0
"96","Smallpox",2020-09-30,"ACT",0,0
"97","Viral haemorrhagic fever (NEC)",2020-09-30,"ACT",0,0
"98","Yellow fever",2020-09-30,"ACT",0,0
"99","Chlamydial infection",2020-09-30,"ACT",94,22.1
"100","Donovanosis",2020-09-30,"ACT",0,0
"101","Gonococcal infection",2020-09-30,"ACT",23,5.4
"102","Syphilis < 2 years",2020-09-30,"ACT",2,0.5
"103","Syphilis > 2 years or unspecified duration",2020-09-30,"ACT",0,0
"104","Syphilis congenital",2020-09-30,"ACT",0,0
"105","Diphtheria",2020-09-30,"ACT",0,0
"106","Haemophilus influenzae type b",2020-09-30,"ACT",0,0
"107","Influenza (laboratory confirmed)",2020-09-30,"ACT",1,0.2
"108","Measles",2020-09-30,"ACT",0,0
