"","Disease","Date","State","Cases","Rates"
"1","Hepatitis B (unspecified)",2020-10-31,"ACT",5,1.2
"2","Hepatitis C (newly acquired)",2020-10-31,"ACT",2,0.5
"3","Hepatitis C (unspecified)",2020-10-31,"ACT",14,3.3
"4","Campylobacteriosis",2020-10-31,"ACT",91,21.4
"5","Cryptosporidiosis",2020-10-31,"ACT",1,0.2
"6","Salmonellosis",2020-10-31,"ACT",3,0.7
"7","Tuberculosis",2020-10-31,"ACT",2,0.5
"8","Chlamydial infection",2020-10-31,"ACT",113,26.5
"9","Gonococcal infection",2020-10-31,"ACT",15,3.5
"10","Syphilis < 2 years",2020-10-31,"ACT",2,0.5
"11","Syphilis > 2 years or unspecified duration",2020-10-31,"ACT",1,0.2
"12","Influenza (laboratory confirmed)",2020-10-31,"ACT",1,0.2
"13","Rotavirus",2020-10-31,"ACT",2,0.5
"14","Varicella zoster (chickenpox)",2020-10-31,"ACT",17,4
"15","Varicella zoster (shingles)",2020-10-31,"ACT",54,12.7
"16","Varicella zoster (unspecified)",2020-10-31,"ACT",7,1.6
"17","Hepatitis B (unspecified)",2020-09-30,"ACT",7,1.6
"18","Hepatitis C (newly acquired)",2020-09-30,"ACT",5,1.2
"19","Hepatitis C (unspecified)",2020-09-30,"ACT",11,2.6
"20","Campylobacteriosis",2020-09-30,"ACT",58,13.6
"21","Salmonellosis",2020-09-30,"ACT",6,1.4
"22","Shigellosis",2020-09-30,"ACT",1,0.2
"23","Tuberculosis",2020-09-30,"ACT",2,0.5
"24","Chlamydial infection",2020-09-30,"ACT",94,22.1
"25","Gonococcal infection",2020-09-30,"ACT",23,5.4
"26","Syphilis < 2 years",2020-09-30,"ACT",2,0.5
"27","Influenza (laboratory confirmed)",2020-09-30,"ACT",1,0.2
"28","Pneumococcal disease (invasive)",2020-09-30,"ACT",1,0.2
"29","Rotavirus",2020-09-30,"ACT",1,0.2
"30","Varicella zoster (chickenpox)",2020-09-30,"ACT",16,3.8
"31","Varicella zoster (shingles)",2020-09-30,"ACT",45,10.6
"32","Varicella zoster (unspecified)",2020-09-30,"ACT",10,2.3
"33","Malaria",2020-09-30,"ACT",1,0.2
"34","Hepatitis B (unspecified)",2020-08-31,"ACT",7,1.6
"35","Hepatitis C (newly acquired)",2020-08-31,"ACT",1,0.2
"36","Hepatitis C (unspecified)",2020-08-31,"ACT",5,1.2
"37","Campylobacteriosis",2020-08-31,"ACT",54,12.7
"38","Salmonellosis",2020-08-31,"ACT",9,2.1
"39","Shigellosis",2020-08-31,"ACT",1,0.2
"40","Tuberculosis",2020-08-31,"ACT",1,0.2
"41","Chlamydial infection",2020-08-31,"ACT",124,29.1
"42","Gonococcal infection",2020-08-31,"ACT",20,4.7
"43","Syphilis < 2 years",2020-08-31,"ACT",3,0.7
"44","Influenza (laboratory confirmed)",2020-08-31,"ACT",3,0.7
"45","Pertussis",2020-08-31,"ACT",4,0.9
"46","Pneumococcal disease (invasive)",2020-08-31,"ACT",1,0.2
"47","Varicella zoster (chickenpox)",2020-08-31,"ACT",9,2.1
"48","Varicella zoster (shingles)",2020-08-31,"ACT",34,8
"49","Varicella zoster (unspecified)",2020-08-31,"ACT",4,0.9
"50","Hepatitis B (unspecified)",2020-07-31,"ACT",5,1.2
"51","Hepatitis C (unspecified)",2020-07-31,"ACT",10,2.3
"52","Campylobacteriosis",2020-07-31,"ACT",48,11.3
"53","Cryptosporidiosis",2020-07-31,"ACT",1,0.2
"54","Salmonellosis",2020-07-31,"ACT",3,0.7
"55","Tuberculosis",2020-07-31,"ACT",4,0.9
"56","Chlamydial infection",2020-07-31,"ACT",135,31.7
"57","Gonococcal infection",2020-07-31,"ACT",22,5.2
"58","Syphilis < 2 years",2020-07-31,"ACT",5,1.2
"59","Influenza (laboratory confirmed)",2020-07-31,"ACT",1,0.2
"60","Pneumococcal disease (invasive)",2020-07-31,"ACT",1,0.2
"61","Rotavirus",2020-07-31,"ACT",5,1.2
"62","Varicella zoster (chickenpox)",2020-07-31,"ACT",4,0.9
"63","Varicella zoster (shingles)",2020-07-31,"ACT",31,7.3
"64","Varicella zoster (unspecified)",2020-07-31,"ACT",8,1.9
"65","Ross River virus infection",2020-07-31,"ACT",1,0.2
"66","Hepatitis B (unspecified)",2020-06-30,"ACT",9,2.1
"67","Hepatitis C (newly acquired)",2020-06-30,"ACT",1,0.2
"68","Hepatitis C (unspecified)",2020-06-30,"ACT",14,3.3
"69","Campylobacteriosis",2020-06-30,"ACT",34,8
"70","Salmonellosis",2020-06-30,"ACT",5,1.2
"71","Legionellosis",2020-06-30,"ACT",1,0.2
"72","Tuberculosis",2020-06-30,"ACT",3,0.7
"73","Chlamydial infection",2020-06-30,"ACT",115,27
"74","Gonococcal infection",2020-06-30,"ACT",15,3.5
"75","Syphilis > 2 years or unspecified duration",2020-06-30,"ACT",1,0.2
"76","Influenza (laboratory confirmed)",2020-06-30,"ACT",3,0.7
"77","Pneumococcal disease (invasive)",2020-06-30,"ACT",1,0.2
"78","Rotavirus",2020-06-30,"ACT",3,0.7
"79","Varicella zoster (chickenpox)",2020-06-30,"ACT",8,1.9
"80","Varicella zoster (shingles)",2020-06-30,"ACT",38,8.9
"81","Varicella zoster (unspecified)",2020-06-30,"ACT",14,3.3
"82","Hepatitis B (unspecified)",2020-05-31,"ACT",4,0.9
"83","Hepatitis C (newly acquired)",2020-05-31,"ACT",2,0.5
"84","Hepatitis C (unspecified)",2020-05-31,"ACT",8,1.9
"85","Campylobacteriosis",2020-05-31,"ACT",41,9.6
