"","X1","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","institution_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1",219,"R_cIPDplvc7DGyLChNA",4474100,"new_entry","original",NA,NA,"On 21 January 2020, the Australian Director of Human Biosecurity amended subsection 42(1) of the Biosecurity Act 2015. The Biosecurity (Listed Human Diseases) Amendment Determination 2020 includes ""human coronavirus with pandemic potential"" to the Biosecurity Act.",2020-01-21,2020-01-21,NA,"Australia","AUS","AU","National",0,NA,NA,"Other Policy Not Listed Above",NA,"Amendment to the Biosecurity Act to enable the declaration of a Human Biosecurity Emergency. Not yet a declaration of emergency",NA,"Australia",NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health",49.5616202415139,47.3494059283088,44.1966866506643,136,"https://www.legislation.gov.au/Details/F2020L00037 ; legislation.gov.au/Details/F2020L00037/Explanatory%20Statement/Text",2020-12-03,2020-12-03 18:39:45
"2",236,"R_2743ZtUfj50ERRoAu",6046630,"new_entry","original",NA,NA,"On 25 January 2020, Australia confirmed its first case of novel coronavirus (2019-nCoV). The patient arrived in the state of Victoria onboard a flight from Guandong on 19 January.",2020-01-25,2020-01-25,NA,"Australia","AUS","AU","National",0,NA,NA,"Public Awareness Measures","Disseminating information related to COVID-19 to the public that is reliable and factually accurate",NA,NA,"Australia",NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","National Government,Ministry/Department of Health",50.0744101807021,47.5473609427741,44.890822478771,129,"https://www.health.gov.au/ministers/the-hon-greg-hunt-mp/media/first-confirmed-case-of-novel-coronavirus-in-australia",2020-09-16,2020-09-16 08:32:53
"3",7,"R_3PvNT5G4xJBTSO7NA",4531517,"new_entry","original",NA,NA,"In Queensland, Australia, on January 29th ""the Minister for Health and Minister for Ambulance Services, the Honourable Dr Steven Miles, declared a public health emergency in Queensland in response to the COVID-19 virus outbreak"".",2020-01-29,2020-01-29,2020-12-31,"Australia","AUS","AU","Provincial",1,"Qld",NA,"Declaration of Emergency",NA,NA,NA,"Australia",NA,NA,"Queensland",NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Ministry/Department of Health,Provincial/State Government,Other (Please specify in the text box)",50.1246877081282,48.1373749022592,45.5494858342087,154,"https://www.health.qld.gov.au/clinical-practice/guidelines-procedures/clinical-staff/mental-health/act/public-health-emergency-covid-19",2020-06-28,2020-06-28 17:35:08
"4",185,"R_SQaCGhwkDlheZjzNA",5814484,"new_entry","original",NA,NA,"On February 1 in Australia the Queensland government has compiled the contact details of the parents of the 3,760 Queenslanders under 18 years old who have recently returned from China, including Hong Kong. The Queensland government sent a text message advising that these children should not attend school, childcare or TAFE until 14 days after the date of their departure from China (including Hong Kong).",2020-02-01,2020-02-01,2020-02-15,"Australia","AUS","AU","Provincial",0,"Qld",NA,"Lockdown",NA,NA,NA,"Australia",NA,NA,"Queensland",NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","Provincial/State Government",50.2993070679966,48.0593312569839,46.0839344776872,138,"https://www.health.qld.gov.au/news-events/doh-media-releases/releases/health-advice-for-under-18s-recently-returned-from-china",2020-06-24,2020-06-24 16:16:55
"5",237,"R_2scGqwEKHBrziJvAu",9013235,"new_entry","original",NA,NA,"From the 4th of February, SA Health translated various posters and info-graphics into different languages for a public awareness campaign for people who speak english as a second language.",2020-02-04,2020-02-04,NA,"Australia","AUS","AU","Provincial",0,"SA",NA,"Public Awareness Measures","Disseminating information related to COVID-19 to the public that is reliable and factually accurate",NA,NA,"Australia",NA,NA,"South Australia",NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","Ministry/Department of Health,Provincial/State Government",51.1698189484759,48.3084858507153,45.5440127188336,141,"https://www.sahealth.sa.gov.au/wps/wcm/connect/public+content/sa+health+internet/conditions/infectious+diseases/covid-19/about+covid-19/help+and+advice/translated+covid-19+resources?mr-sort=title-asc&mr-pg=1",2020-10-15,2020-10-15 13:56:48
"6",151,"R_OPDZ35EBJ7YgiJzNA",899424,"new_entry","correction",NA,NA,"February 6th. 2020: South Australia declares COVID-19 a controlled notifiable condition. Novel coronavirus testing will become part of routine respiratory infection testing, resulting in a more efficient and streamlined process for GPs. While it will result in more South Australians being tested, it will mean more people will be able to rule out any links to novel coronavirus.",2020-02-05,2020-02-06,NA,"Australia","AUS","AU","Provincial",0,"SA",NA,"Health Testing",NA,NA,NA,"Australia","One or more geographical or administrative units within one or more countries",NA,"South Australia",NA,NA,"All Residents (Citizen Residents +Foreign Residents)",NA,"Not Applicable","Mandatory (Unspecified/Implied)","Ministry/Department of Health,Provincial/State Government",51.3203253338813,48.4373342635196,45.2281696530229,137,NA,2020-06-18,2020-06-18 14:50:50
"7",222,"R_0GJnpmRHQTf5SStNA",8534580,"new_entry","original",NA,NA,"On 18 February 2020, the Australian Government Department of Health published The Australian Health Sector Emergency Response Plan for Novel Coronavirus (the COVID-19 Plan) which guides the Australian Health Sector Response.",2020-02-18,2020-02-18,NA,"Australia","AUS","AU","National",1,NA,NA,"Other Policy Not Listed Above",NA,"The Australian Government Department of Health published a Australian Health Sector Emergency Response Plan that includes an overview of the national approach and an operational plan",NA,"Australia","One or more countries, but not all countries",NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,"Not Applicable","Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health",52.4973608026731,48.7813933719939,43.5787173400496,112,"https://www.health.gov.au/resources/publications/australian-health-sector-emergency-response-plan-for-novel-coronavirus-covid-19 ; https://www.health.gov.au/sites/default/files/documents/2020/02/australian-health-sector-emergency-response-plan-for-novel-coronavirus-covid-19_2.pdf",2020-04-18,2020-04-18 15:47:21
"8",53,"R_3LckalXccGTmEzBNA",1444651,"new_entry","original",NA,NA,"On February 29 Queensland Health issued a coronavirus contact tracing alert and will be contacting customers of Hair Plus at Australia Fair, Southport. Anyone who attended Hair Plus at Australia Fair from 11am onwards on Thursday 27 February is advised to go to the Gold Coast University Hospital.",2020-02-29,2020-02-29,NA,"Australia","AUS","AU","Provincial",0,"Qld",NA,"Health Monitoring",NA,NA,NA,"Australia",NA,NA,"Queensland",NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","Ministry/Department of Health,Provincial/State Government",52.8958970550017,49.1212847957678,44.7474536402559,92,"https://www.health.qld.gov.au/news-events/doh-media-releases/releases/queensland-coronavirus-update11",2020-06-24,2020-06-24 17:20:05
"9",58,"R_10BOfXPXosvLoNiCc",313076,"new_entry","original",NA,NA,"Queensland, Australia is improving their health resources as of March 2nd by spending $25 million worth on medicines, gloves and masks.",2020-03-02,2020-03-02,NA,"Australia","AUS","AU","Provincial",0,"Qld",NA,"Health Resources","Masks",NA,NA,"Australia",NA,NA,"Queensland",NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","Ministry/Department of Health,Provincial/State Government",52.1565354944615,49.4336644215172,45.4123728382563,99,"http://statements.qld.gov.au/Statement/2020/3/2/queensland-boosts-coronavirus-measures",2020-06-24,2020-06-24 20:23:48
"10",59,"R_10BOfXPXosvLoNiDa",313076,"new_entry","original",NA,NA,"Queensland, Australia is improving their health resources as of March 2nd by spending $25 million worth on medicines, gloves and masks.",2020-03-02,2020-03-02,NA,"Australia","AUS","AU","Provincial",0,"Qld",NA,"Health Resources","Personal Protective Equipment",NA,NA,"Australia",NA,NA,"Queensland",NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","Ministry/Department of Health,Provincial/State Government",52.1565354944615,49.4336644215172,45.4123728382563,99,"http://statements.qld.gov.au/Statement/2020/3/2/queensland-boosts-coronavirus-measures",2020-06-24,2020-06-24 20:23:48
